LATITUD; LONGITUD;DIA_SEMANA;DESCRIPCION_CONDUCTA
4.00735522;-73.77141476;6;2395
4.130148961;-73.61726771;6;2396
4.264414283;-73.56486064;4;2396
4.126478157;-73.638785;3;2395
4.129874815;-73.63797884;6;2395
4.139415588;-73.63439691;3;2395
4.143856512;-73.63452436;2;2395
4.146902915;-73.61843355;3;2396
4.152080941;-73.63703214;3;2395
4.115251139;-73.60873744;1;2395
4.146079811;-73.62996146;3;2395
4.144436472;-73.62749902;7;2396
4.098555701;-73.6405338;7;2396
4.1104038;-73.66216532;4;2396
4.134612429;-73.62940195;5;2691
4.136571215;-73.61826641;4;2395
4.138822803;-73.63857292;4;2395
4.141396443;-73.62471939;3;2395
4.155824969;-73.63473708;3;2395
4.058445859;-73.67250573;6;2395
4.071890373;-73.67046725;1;2395
4.077667568;-73.66948748;1;2395
4.119379007;-73.62440298;1;2395
4.119498295;-73.63272513;7;2396
4.119970813;-73.62877773;6;2395
4.1212906;-73.62535039;2;2395
4.123782989;-73.6266809;7;2395
4.124880706;-73.61946237;2;2395
4.126488858;-73.54613077;2;2396
4.126592871;-73.60858333;5;2395
4.126863394;-73.63201511;6;2396
4.127164752;-73.61586606;2;2395
4.129582932;-73.59236971;1;2395
4.131204998;-73.61098659;1;2395
4.131359103;-73.63412919;4;2395
4.133188296;-73.63417559;2;2395
4.133331811;-73.62403017;5;2395
4.133460395;-73.6332121;1;2395
4.1376621;-73.58606086;7;2393
4.139492313;-73.61151563;4;2395
4.140632487;-73.64705693;7;2395
4.141996842;-73.63265347;1;2395
4.144368173;-73.61040308;3;2395
4.146746491;-73.60467803;3;2395
4.147029521;-73.58403973;3;2395
4.148041837;-73.61772409;5;2395
4.148513611;-73.60804152;3;2395
4.14878982;-73.62725677;1;2395
4.149316987;-73.62855748;4;2395
4.152103696;-73.62838876;4;2395
4.152529612;-73.63536717;6;2395
4.153610417;-73.63456909;5;2395
4.153618565;-73.60209562;2;2396
4.154415039;-73.61607206;3;2395
4.155562147;-73.63054526;7;2395
4.168197349;-73.61328256;6;2395
4.121124631;-73.56360068;2;2393
4.146220311;-73.60941463;3;2393
4.152230581;-73.63617676;4;2395
4.115175121;-73.61028201;2;2395
4.123233173;-73.54180705;5;2395
4.131872622;-73.63279511;6;2395
4.132857814;-73.63709298;4;2395
4.137474816;-73.58408036;6;2395
4.138252913;-73.58724786;5;2395
4.139406885;-73.636087;6;2395
4.140582876;-73.63902204;6;2395
4.145359887;-73.63497626;5;2395
4.147886754;-73.64076925;2;2395
4.149144311;-73.628142;7;2395
4.160567292;-73.64518706;6;2396
4.148543946;-73.61142532;4;2395
4.126635675;-73.63821637;6;2395
4.116098756;-73.62307205;2;2396
4.118742546;-73.59896391;1;2395
4.121017655;-73.62677563;7;2395
4.124210471;-73.63153666;4;2395
4.125998594;-73.6150338;4;2395
4.132566113;-73.62691495;6;2395
4.153140198;-73.63782003;4;2395
4.149107501;-73.6289252;1;2395
4.122267986;-73.63413877;1;2395
4.127706206;-73.63836658;6;2395
4.178020308;-73.61856115;4;2396
4.15076611;-73.64076447;2;2395
4.142152004;-73.63426816;3;2395
4.142986667;-73.63823783;6;2395
3.999410424;-73.77098024;7;2396
4.260623415;-73.56321658;5;2393
4.262863407;-73.56262725;1;2395
4.263527894;-73.56484556;1;2393
4.133580608;-73.61308944;1;2395
4.137700454;-73.57922923;5;2394
4.268968577;-73.48473667;5;2395
4.268158971;-73.55831605;3;2396
3.988207394;-73.78026605;6;2395
3.986041642;-73.76284783;1;2395
4.152103696;-73.62847459;3;2395
4.152324612;-73.61460071;6;2395
4.128938785;-73.65206978;3;2396
4.131763841;-73.65258476;3;2396
4.149332216;-73.63577556;7;2395
4.148971067;-73.63689673;5;2395
3.985348548;-73.77602939;7;2396
3.992273608;-73.76047858;4;2395
4.271210393;-73.48308881;6;2395
4.27129;-73.48999367;7;2395
4.133355888;-73.62491798;3;2396
4.083007272;-73.66407407;6;2395
4.104922959;-73.64841934;4;2395
4.130908106;-73.54884304;7;2395
4.133280148;-73.61305061;6;2395
4.141365494;-73.63332134;4;2395
4.13133157;-73.63803138;6;2395
4.158378329;-73.63694298;5;2395
4.13538608;-73.61516041;6;2395
4.14072531;-73.62406689;1;2393
4.079999262;-73.66939437;6;2395
4.124763942;-73.62718976;1;2395
4.138263534;-73.63048229;2;2395
4.151525859;-73.59407258;7;2395
4.070314215;-73.67173326;1;2396
4.080442526;-73.66922593;6;2395
4.081298026;-73.67041846;1;2395
4.08267565;-73.66643003;4;2395
4.101541689;-73.65655349;5;2395
4.10235353;-73.65183353;6;2396
4.105639701;-73.65048267;3;2395
4.107534124;-73.65211022;3;2395
4.1090216;-73.65467441;2;2395
4.113398297;-73.6065809;4;2395
4.116820565;-73.59918525;3;2395
4.118438472;-73.62798519;7;2395
4.119230535;-73.65012538;2;2395
4.120001015;-73.61581456;5;2395
4.122792888;-73.62647601;6;2395
4.123033196;-73.61272798;4;2395
4.124037673;-73.62860482;2;2395
4.127767844;-73.5438503;5;2395
4.127962063;-73.56899392;2;2395
4.129757014;-73.60334884;5;2396
4.131048221;-73.62977646;7;2396
4.131258503;-73.6289252;1;2395
4.133001144;-73.63427206;1;2395
4.133629519;-73.63347352;5;2395
4.133676916;-73.60538613;1;2396
4.134074493;-73.63150908;6;2395
4.134212022;-73.61230395;5;2395
4.136101047;-73.58647213;4;2396
4.138425;-73.62161242;4;2395
4.138563478;-73.58421814;7;2395
4.140408402;-73.61071496;4;2395
4.141124725;-73.62083566;3;2395
4.142313815;-73.58575117;4;2395
4.145469166;-73.6380402;6;2395
4.145790271;-73.64218604;2;2395
4.146753339;-73.58912122;1;2396
4.147780611;-73.62070691;2;2395
4.148128666;-73.6408729;1;2395
4.148529662;-73.62679016;4;2395
4.150585796;-73.61546125;4;2395
4.151186884;-73.62541258;1;2395
4.151565311;-73.61541786;4;2395
4.152491503;-73.63456529;3;2395
4.152625906;-73.63464289;5;2395
4.154679237;-73.6209485;2;2395
4.132386693;-73.59066122;3;2393
4.135735714;-73.63638695;6;2393
4.132363698;-73.6275841;3;2394
4.064318048;-73.66742122;6;2395
4.112553007;-73.63109243;5;2395
4.127493727;-73.54647911;1;2395
4.130045391;-73.63012523;3;2395
4.133898853;-73.61031604;3;2395
4.143556856;-73.63032805;5;2395
4.151773794;-73.63434326;3;2395
4.158195353;-73.66124046;5;2395
4.160396064;-73.64605854;1;2395
4.170188917;-73.62120044;7;2396
3.915522667;-73.685112;2;2391
3.934153425;-73.68747235;5;2395
3.9563523;-73.79004002;5;2394
3.961832355;-73.78167153;5;2396
3.970737367;-73.7730872;5;2394
3.971957517;-73.80205632;1;2394
3.974376407;-73.76757384;4;2396
3.974911558;-73.78287316;1;2395
3.975981861;-73.7619412;2;2393
3.979256976;-73.75733853;6;2395
3.980284461;-73.74961377;7;2394
3.981033668;-73.74918461;2;2396
3.981226321;-73.75785351;6;2395
3.981740062;-73.7209034;5;2395
3.982853167;-73.75832558;5;2394
3.983089957;-73.76229726;1;2395
3.983238472;-73.76325012;1;2394
3.983677292;-73.76881838;4;2395
3.983730806;-73.76641512;6;2393
3.984244546;-73.76537443;4;2395
3.985282727;-73.773067;5;2395
3.985742951;-73.7667799;2;2395
3.985796466;-73.76260639;1;2395
3.986498416;-73.75884837;5;2395
3.986641993;-73.77037406;5;2395
3.986770428;-73.76238108;6;2393
3.986927473;-73.7794332;5;2396
3.987380491;-73.75960231;6;2395
3.987576644;-73.7691491;1;2393
3.987669469;-73.76327158;6;2395
3.987755092;-73.77733708;2;2396
3.988033366;-73.76755238;5;2395
3.988173909;-73.7640302;1;2395
3.98906084;-73.76407624;2;2691
3.990783996;-73.75498891;6;2395
3.990944538;-73.75472069;2;2396
3.991923845;-73.78364564;4;2395
3.993149316;-73.78038407;2;2396
3.993378384;-73.77962664;4;2396
3.993418431;-73.76508996;2;2394
3.994455055;-73.76939774;5;2395
3.99505441;-73.76823903;2;2394
3.996424363;-73.76506329;3;2395
3.996789662;-73.7680857;4;2395
3.996873879;-73.79536152;6;2395
3.997644476;-73.76342178;6;2394
3.998399018;-73.76948894;7;2395
4.000598424;-73.82136822;7;2394
4.00094091;-73.77471924;3;2395
4.002353664;-73.78849507;1;2396
4.003680794;-73.78772259;2;2393
4.005007922;-73.75969887;3;2391
4.005735701;-73.7706852;7;2396
4.00802606;-73.77244473;1;2395
4.008047465;-73.77506257;5;2396
4.010530463;-73.78386021;3;2395
4.013398745;-73.76291752;5;2391
4.018065033;-73.76137257;7;2396
4.046951902;-73.76790654;6;2395
3.975853424;-73.7511158;2;2691
3.979385412;-73.76107216;7;2395
3.983903458;-73.77036022;6;2392
3.984351575;-73.76553536;5;2395
3.985401865;-73.77623962;1;2395
3.986641993;-73.77132893;4;2396
3.997130744;-73.75472069;1;2394
4.003830631;-73.77437592;7;2396
4.024700534;-73.77523423;6;2396
3.985389756;-73.77733708;7;2394
4.020806331;-73.7866217;2;2395
3.979685095;-73.75261784;4;2393
3.980530629;-73.76583577;4;2396
3.981226321;-73.74695302;1;2393
3.981397568;-73.76523495;2;2395
3.985678734;-73.75484944;7;2395
3.985732249;-73.77644659;2;2394
3.985764357;-73.76738072;6;2395
3.985807169;-73.7606001;2;2395
3.985807169;-73.76047135;6;2394
3.985914198;-73.76377583;5;2393
3.985962361;-73.76977861;3;2396
3.986085444;-73.76231671;7;2393
3.986449342;-73.76156569;5;2395
3.986470747;-73.76053572;3;2394
3.986641993;-73.7574029;5;2395
3.986877457;-73.77025605;3;2395
3.986941674;-73.76132966;2;2395
3.987348383;-73.75848651;3;2395
3.987476817;-73.76210213;6;2395
3.987567792;-73.77136916;3;2393
3.987926337;-73.76111508;6;2394
3.987947743;-73.75733853;6;2395
3.988033366;-73.76343251;1;2393
3.988547103;-73.76373292;6;2395
3.989103651;-73.76519204;3;2395
3.989232085;-73.77699376;2;2393
3.989911715;-73.75457049;5;2396
3.99091243;-73.75438273;5;2396
3.991353921;-73.77817125;2;2396
3.991415462;-73.77330304;1;2393
3.991715141;-73.75454903;4;2395
3.992614176;-73.78767968;1;2395
3.993079336;-73.74636394;7;2394
3.994471109;-73.78154278;4;2396
3.994968788;-73.76484871;5;2395
3.995760793;-73.76416207;5;2395
3.995889226;-73.75785351;1;2394
3.997965557;-73.76635075;7;2395
3.99809399;-73.76351834;5;2395
3.999335505;-73.75506402;7;2394
4.001415652;-73.76318421;7;2394
4.002053989;-73.77439738;5;2395
3.981037491;-73.74927303;2;2391
3.98125155;-73.74794266;5;2391
3.981675844;-73.74871254;3;2391
3.9874126;-73.7343359;3;2391
3.995204249;-73.72832776;3;2391
4.006895407;-73.78394863;4;2391
4.013112385;-73.77478652;6;2394
3.976118699;-73.7611879;7;2395
3.984796827;-73.7603507;2;2395
3.985084435;-73.76907089;1;2395
3.988392237;-73.76603252;1;2691
3.988833726;-73.77271832;6;2395
3.990638728;-73.75706381;7;2396
3.995258943;-73.76523184;6;2396
3.975575146;-73.76873255;7;2396
3.975617958;-73.76476288;6;2394
3.975896236;-73.76196266;2;2393
3.977137785;-73.7684536;2;2395
3.977951213;-73.7572527;4;2393
3.979373551;-73.7568446;2;2395
3.979428224;-73.75695229;5;2391
3.980466411;-73.76397968;5;2394
3.980733985;-73.76467705;7;2393
3.981927363;-73.7625742;2;2395
3.982189585;-73.75931263;6;2394
3.982414347;-73.76565874;4;2691
3.982574891;-73.76637221;7;2394
3.983356204;-73.76947284;7;2396
3.983388313;-73.77871037;5;2396
3.983413161;-73.76323816;6;2395
3.98350191;-73.75023644;3;2395
3.983752212;-73.77509475;6;2395
3.984544227;-73.77207131;1;2395
3.984822503;-73.76821757;5;2395
3.985046166;-73.76093903;3;2395
3.985170347;-73.76174359;6;2395
3.98624648;-73.76481404;2;2393
3.986288798;-73.7667048;3;2394
3.986342313;-73.75965596;3;2396
3.98634884;-73.76045504;5;2395
3.986353016;-73.75770331;2;2395
3.986449342;-73.76231671;3;2395
3.986512077;-73.77068584;7;2396
3.986652696;-73.76220942;6;2393
3.986735777;-73.76138589;4;2395
3.987093406;-73.75954412;5;2395
3.98711292;-73.77564192;7;2396
3.987390597;-73.76418947;7;2393
3.988036892;-73.7636104;6;2395
3.988076177;-73.76866818;1;2393
3.988121586;-73.77056902;6;2392
3.988273545;-73.77421386;5;2396
3.988547103;-73.77343178;3;2395
3.988809323;-73.77601207;2;2394
3.98903392;-73.74965742;3;2395
3.989510359;-73.76983762;2;2394
3.990464652;-73.75711122;1;2395
3.99068767;-73.76366854;5;2395
3.99076259;-73.75754238;4;2395
3.990965944;-73.77506257;3;2394
3.991222811;-73.76807809;3;2393
3.99170954;-73.76105543;5;2395
